year,month,brand,product_name,total_quantity_sold,total_revenue
2026,6,Chitato,Chitato Sapi Panggang,2845.0,31711250.0
2026,6,Chitato,Chitato Lite Rumput Laut,1673.0,17410800.0
2026,6,Indomilk,Indomilk Susu Kental Manis Putih,1201.0,14190625.0
2026,6,Chitato,Chitato Ayam Bumbu,853.0,9418500.0
2026,6,Qtela,Qtela Singkong Original,1068.0,8721425.0
2026,6,Qtela,Qtela Singkong Barbeque,1066.0,8426900.0
2026,6,Indomie,Indomie Kari Ayam Extra Bawang,2083.0,5996330.0
2026,6,Indomie,Indomie Goreng Rendang,1566.0,4928715.0
2026,6,Chiki,Chiki Balls Keju,891.0,4422550.0
2026,6,Indomie,Indomie Goreng Spesial,1365.0,4062550.0
2026,6,Pop Mie,Pop Mie Rasa Ayam,821.0,3753250.0
2026,6,Indomilk,Indomilk Susu Cair Cokelat,641.0,3733800.0
2026,6,Indomie,Indomie Kuah Rasa Ayam Bawang,1187.0,3259020.0
2026,6,JetZ,JetZ Chocolate,705.0,3087900.0
2026,6,Racik,Bumbu Racik Ayam Goreng,754.0,1765500.0
2026,6,Ichi Ocha,Ichi Ocha Green Tea,306.0,1158800.0
2026,6,Pop Mie,Pop Mie Goreng Spesial,111.0,499500.0
2026,6,Club,Club Air Mineral 600ml,87.0,221850.0
2026,5,Chitato,Chitato Sapi Panggang,2638.0,29239325.0
2026,5,Chitato,Chitato Ayam Bumbu,2427.0,25749075.0
2026,5,Chitato,Chitato Lite Rumput Laut,2118.0,22089650.0
2026,5,Indomilk,Indomilk Susu Kental Manis Putih,1382.0,16723750.0
2026,5,Indomilk,Indomilk Susu Cair Cokelat,2726.0,15663900.0
2026,5,Qtela,Qtela Singkong Barbeque,1065.0,8583300.0
2026,5,Pop Mie,Pop Mie Rasa Baso,1619.0,7595250.0
2026,5,Pop Mie,Pop Mie Goreng Spesial,1396.0,6568250.0
2026,5,Indomie,Indomie Kuah Rasa Ayam Bawang,1592.0,4400170.0
2026,5,Indomie,Indomie Goreng Rendang,1383.0,4212615.0
2026,5,Indomie,Indomie Kari Ayam Extra Bawang,1248.0,3630410.0
2026,5,JetZ,JetZ Chocolate,611.0,2664675.0
2026,5,Racik,Bumbu Racik Ayam Goreng,755.0,1813750.0
2026,5,Indomie,Indomie Goreng Spesial,387.0,1139715.0
