sales_id,raw_date,product_id,distributor_id,region_id,promotion_id,segment_id,warehouse_id,quantity
10000,2025-04-13,104,203,305,404,501,603,303
10001,2026-03-12,101,203,301,401,502,601,861
10002,2025-09-28,109,202,302,402,501,601,160
10003,2025-04-17,108,203,302,401,502,601,393
10004,2025-03-13,108,202,305,402,501,601,647
10005,2025-01-21,105,201,301,402,503,603,822
10006,2025-05-02,104,201,304,402,502,603,317
10007,2026-04-12,118,202,301,401,501,603,345
10008,2025-08-03,103,203,304,402,503,601,955
10009,2025-11-27,119,203,303,401,502,603,755
10010,2026-04-04,114,202,303,402,501,603,901
10011,2025-03-29,102,202,303,403,501,602,384
10012,2026-01-08,101,201,301,402,503,602,17
10013,2025-04-10,103,202,305,404,502,602,350
10014,2025-05-11,107,203,304,401,501,602,138
10015,2025-11-05,108,202,301,403,503,603,785
10016,2025-12-10,117,202,303,401,503,601,678
10017,2026-05-07,120,202,302,402,501,602,361
10018,2026-02-18,101,201,303,404,502,601,367
10019,2026-01-21,118,202,305,404,503,603,526
10020,2025-07-11,107,204,303,404,502,603,504
10021,2025-10-04,118,204,305,402,501,602,95
10022,2025-06-10,114,204,302,402,501,602,184
10023,2026-04-05,108,203,304,404,501,601,811
10024,2025-11-10,115,203,303,402,501,601,202
10025,2025-01-22,119,202,305,402,503,602,320
10026,2025-09-10,109,204,304,403,503,602,128
10027,2026-04-20,101,201,302,402,502,601,227
10028,2025-02-28,106,204,305,403,502,602,436
10029,2026-05-26,114,204,302,404,501,602,979
10030,2026-04-21,111,203,302,401,502,603,423
10031,2025-07-09,109,203,301,402,501,601,123
10032,2025-09-01,105,201,304,404,503,601,987
10033,2026-05-20,107,203,301,404,503,601,154
10034,2025-05-11,111,201,302,402,501,603,547
10035,2026-04-30,104,203,305,401,501,603,657
10036,2025-01-21,103,204,303,401,503,603,312
10037,2025-06-16,113,204,301,402,502,603,753
10038,2025-10-01,104,201,303,404,502,601,890
10039,2026-01-23,112,201,301,402,501,601,597
10040,2025-11-12,112,203,304,401,503,602,996
10041,2025-01-14,120,203,303,402,502,601,849
10042,2025-08-30,109,201,301,404,502,602,354
10043,2025-12-12,102,201,302,401,503,603,823
10044,2025-12-06,115,204,305,401,501,601,973
10045,2025-04-02,118,204,302,401,503,601,810
10046,2026-01-02,104,201,304,404,503,602,10
10047,2026-03-31,113,204,304,402,502,603,156
10048,2026-03-04,103,202,301,401,502,602,296
10049,2026-05-24,118,203,302,404,502,603,985
10050,2025-02-04,110,204,303,404,502,602,663
10051,2025-07-25,120,202,301,403,503,601,62
10052,2025-03-22,112,201,301,401,501,601,313
10053,2026-01-23,119,204,302,404,503,602,78
10054,2025-01-02,107,201,305,402,501,601,370
10055,2026-01-25,103,203,304,404,501,603,611
10056,2025-04-16,102,201,303,404,502,601,967
10057,2026-04-22,108,202,304,403,503,601,229
10058,2026-02-06,110,201,301,401,502,603,971
10059,2025-06-11,103,202,305,404,501,603,713
10060,2025-07-21,108,204,301,402,503,602,975
10061,2025-09-27,104,204,305,403,503,602,584
10062,2025-09-28,113,202,302,404,502,603,594
10063,2026-04-01,109,203,304,402,502,602,170
10064,2026-04-07,115,203,301,401,503,601,690
10065,2025-09-09,112,203,305,403,502,601,98
10066,2025-10-23,106,204,305,404,502,603,697
10067,2025-12-04,112,204,301,403,501,601,790
10068,2025-02-22,112,203,304,402,503,601,594
10069,2025-08-05,107,201,302,401,503,602,766
10070,2025-07-07,109,203,302,401,501,602,598
10071,2026-01-15,103,201,303,401,502,603,168
10072,2026-05-08,120,203,303,401,503,602,498
10073,2025-02-10,106,201,303,404,502,602,980
10074,2025-06-06,118,204,304,402,501,601,333
10075,2025-01-15,108,203,303,403,502,602,619
10076,2025-03-06,106,203,303,404,502,601,390
10077,2026-06-05,115,202,304,403,503,603,111
10078,2025-12-10,113,203,303,401,501,601,503
10079,2025-05-09,109,201,302,402,501,602,653
10080,2026-04-17,118,202,301,404,503,603,623
10081,2025-03-04,108,203,302,403,501,603,28
10082,2025-05-19,111,203,302,403,502,601,463
10083,2026-05-14,102,204,305,404,503,602,491
10084,2026-01-27,108,202,301,403,501,601,603
10085,2026-02-23,102,201,302,403,502,602,406
10086,2025-10-16,111,203,301,404,503,601,288
10087,2026-01-14,113,204,302,402,502,601,860
10088,2026-05-05,109,203,304,404,501,602,374
