product_id,product_name,brand,category,pack_size
101,Indomie Goreng Spesial,Indomie,Noodles,85g
102,Indomie Kuah Rasa Ayam Bawang,Indomie,Noodles,75g
103,Indomie Goreng Rendang,Indomie,Noodles,91g
104,Indomie Kari Ayam Extra Bawang,Indomie,Noodles,72g
105,Pop Mie Rasa Ayam,Pop Mie,Noodles,75g
106,Pop Mie Goreng Spesial,Pop Mie,Noodles,75g
107,Pop Mie Rasa Baso,Pop Mie,Noodles,75g
108,Chitato Sapi Panggang,Chitato,Snacks,68g
109,Chitato Ayam Bumbu,Chitato,Snacks,68g
110,Chitato Lite Rumput Laut,Chitato,Snacks,68g
111,Qtela Singkong Original,Qtela,Snacks,180g
112,Qtela Singkong Barbeque,Qtela,Snacks,180g
113,Chiki Balls Keju,Chiki,Snacks,55g
114,JetZ Chocolate,JetZ,Snacks,40g
115,Indomilk Susu Cair Cokelat,Indomilk,Dairy,190ml
116,Indomilk Susu Kental Manis Putih,Indomilk,Dairy,370g
117,Ichi Ocha Green Tea,Ichi Ocha,Beverages,350ml
118,Club Air Mineral 600ml,Club,Beverages,600ml
119,Bumbu Racik Ayam Goreng,Racik,Food Ingredients,20g
120,Bumbu Racik Sayur Sop,Racik,Food Ingredients,20g
