sales_id,date_id,product_id,distributor_id,region_id,promotion_id,segment_id,warehouse_id,quantity,revenue
10000,20250413,113,201,304,403,502,601,19,88825.0
10001,20250511,101,204,305,401,501,601,110,341000.0
10002,20260405,109,201,301,403,502,601,219,2140725.0
10003,20250901,109,201,303,401,501,603,88,1012000.0
10004,20251112,109,201,301,401,501,603,240,2760000.0
10005,20250204,116,201,304,402,502,602,233,2621250.0
10006,20260422,117,203,305,404,503,603,238,904400.0
10007,20251204,109,202,305,404,501,601,219,2392575.0
10008,20250306,101,201,302,401,501,601,224,694400.0
10009,20260114,101,201,301,404,503,601,317,933565.0
10010,20250217,106,203,304,403,501,602,229,973250.0
10011,20250105,109,203,303,403,502,601,192,1876800.0
10012,20260406,103,203,303,403,503,601,278,779790.0
10013,20250205,116,202,304,404,503,601,478,5676250.0
10014,20250128,103,201,305,402,501,601,176,522720.0
10015,20251010,107,203,305,401,502,601,186,930000.0
10016,20250813,102,201,305,402,502,603,223,582030.0
10017,20250925,104,201,302,401,501,602,144,446400.0
10018,20250808,101,201,305,401,501,601,241,747100.0
10019,20250503,104,203,303,404,502,603,325,957125.0
10020,20250524,115,201,301,401,503,603,150,900000.0
10021,20250527,106,201,305,402,502,603,167,751500.0
10022,20260418,103,202,304,401,501,603,13,42900.0
10023,20251031,117,202,305,401,501,603,159,636000.0
10024,20250727,116,203,304,404,501,601,272,3230000.0
10025,20250815,106,204,305,401,501,601,217,1085000.0
10026,20250612,110,201,304,401,501,603,227,2497000.0
10027,20260205,105,202,303,404,501,602,291,1382250.0
10028,20250818,106,203,303,404,502,602,109,517750.0
10029,20260531,101,202,301,404,503,603,246,724470.0
10030,20250409,112,204,302,403,503,603,180,1300500.0
10031,20250610,105,201,303,404,503,602,202,959500.0
10032,20251015,110,201,301,401,501,603,183,2013000.0
10033,20250208,104,203,305,404,503,602,177,521265.0
10034,20250205,113,202,304,404,503,601,172,898700.0
10035,20250220,108,202,301,403,501,601,178,1739950.0
10036,20250223,109,201,305,401,503,601,118,1357000.0
10037,20251216,109,202,304,404,502,601,293,3201025.0
10038,20250430,104,201,301,401,503,603,88,272800.0
10039,20250227,116,201,301,401,501,603,282,3525000.0
10040,20250929,108,203,302,404,501,602,181,1977425.0
10041,20250216,101,203,304,402,501,601,176,491040.0
10042,20251016,108,202,301,404,503,601,568,6205400.0
10043,20260531,110,204,305,404,503,603,258,2696100.0
10044,20260115,102,203,305,404,503,603,183,504165.0
10045,20250112,102,201,301,404,501,601,163,449065.0
10046,20260222,104,201,304,402,503,601,240,669600.0
10047,20260129,107,202,303,404,501,601,242,1149500.0
10048,20250406,105,204,305,402,503,603,317,1426500.0
10049,20251208,105,201,301,404,503,601,252,1197000.0
10050,20260119,108,201,301,401,503,602,122,1403000.0
10051,20250211,118,204,301,404,502,603,274,780900.0
10052,20250109,112,202,301,401,503,601,194,1649000.0
10053,20260601,108,201,303,404,503,601,337,3681725.0
10054,20251123,119,203,302,401,503,602,218,545000.0
10055,20250208,107,201,302,403,503,603,185,786250.0
10056,20251227,112,203,301,402,502,601,10,76500.0
10057,20250227,101,204,301,404,502,603,364,1071980.0
10058,20250817,104,203,301,401,501,601,264,818400.0
10059,20250112,117,201,302,401,501,601,93,372000.0
10060,20250331,106,201,301,402,501,601,355,1597500.0
10061,20250910,116,201,303,404,501,603,100,1187500.0
10062,20250908,101,201,302,404,503,601,78,229710.0
10063,20260406,101,201,301,401,501,603,258,799800.0
10064,20260313,109,203,304,402,501,601,123,1273050.0
10065,20260322,115,203,301,401,501,601,75,450000.0
10066,20260314,113,202,305,403,503,603,108,504900.0
10067,20251030,107,203,303,404,503,602,223,1059250.0
10068,20251102,109,201,302,404,501,602,201,2195925.0
10069,20250416,115,204,301,404,502,601,383,2183100.0
10070,20250310,118,201,302,404,501,601,139,396150.0
10071,20251008,116,201,304,401,501,601,189,2362500.0
10072,20250105,105,201,301,403,502,601,90,382500.0
10073,20250906,108,203,303,401,502,601,57,655500.0
10074,20250914,102,202,305,403,503,601,217,534905.0
10075,20260121,112,201,301,404,503,602,409,3302675.0
