sales_id,raw_date,product_id,distributor_id,region_id,promotion_id,segment_id,warehouse_id,quantity
10000,2025-04-13,113,201,304,401,503,601,142
10001,2026-01-08,109,203,301,404,503,603,157
10002,2026-01-21,103,201,302,402,502,601,273
10003,2026-04-21,118,201,301,401,503,601,28
10004,2025-09-01,109,201,303,401,501,601,101
10005,2025-12-06,104,203,303,401,503,601,225
10006,2025-03-22,104,203,302,402,502,602,219
10007,2025-09-28,102,201,301,402,501,601,279
10008,2025-12-04,109,202,305,404,503,601,165
10009,2026-06-05,113,201,301,404,503,603,198
10010,2026-02-23,113,201,302,404,501,603,99
10011,2025-02-17,106,203,304,401,503,601,237
10012,2026-04-07,115,203,301,403,501,601,144
10013,2026-04-06,103,203,303,401,503,603,176
10014,2026-04-30,104,201,304,402,501,601,127
10015,2025-01-28,103,201,305,402,501,601,154
10016,2026-04-18,105,201,301,402,502,603,10
10017,2025-08-13,102,201,305,402,501,602,231
10018,2025-08-21,107,201,301,401,501,603,89
10019,2025-03-22,104,204,302,401,501,601,186
10020,2026-01-20,104,201,303,401,503,601,241
10021,2025-05-03,104,203,303,402,503,601,267
10022,2026-05-26,102,203,302,402,501,601,353
10023,2026-02-07,111,203,302,401,501,603,219
10024,2025-12-04,115,203,304,401,501,602,67
10025,2025-05-24,114,202,303,401,501,601,209
10026,2026-03-29,116,202,302,403,501,603,255
10027,2026-02-24,116,202,301,403,501,603,309
10028,2025-12-04,108,201,305,401,501,601,43
10029,2026-05-19,110,203,304,401,503,601,147
10030,2026-04-15,104,201,305,401,502,603,246
10031,2025-10-11,110,203,301,401,502,602,193
10032,2025-07-11,110,201,305,404,503,603,237
10033,2025-06-30,109,204,301,401,501,601,209
10034,2025-06-10,105,201,303,402,503,603,120
10035,2025-10-15,110,201,301,404,501,601,265
10036,2025-04-14,110,203,302,401,501,603,174
10037,2026-06-09,102,201,303,401,501,601,170
10038,2026-02-04,101,203,301,402,503,601,91
10039,2025-07-09,104,202,301,402,501,603,308
10040,2025-02-23,109,201,305,404,501,603,371
10041,2025-12-16,109,202,304,404,503,602,234
